time,open,high,low,close,Volume,Volume MA
1627776000,41461.84,41566.05,41120,41487.99,1179.035106,NaN
1627776900,41487.99,41659.88,41421.89,41624.67,420.119954,NaN
1627777800,41631.6,41708.56,41543.25,41686.38,441.926215,NaN
1627778700,41686.39,41772.87,41652.24,41737.37,503.409429,NaN
1627779600,41734.66,41920,41653.21,41860.98,619.302471,NaN
1627780500,41860.99,41922.86,41614.98,41733.17,464.236023,NaN
1627781400,41733.17,41775.46,41680,41739.79,283.202808,NaN
1627782300,41739.8,41784.28,41654.11,41707.22,246.266197,NaN
1627783200,41707.22,41749.11,41634.31,41634.32,183.434618,NaN
1627784100,41634.32,41714.99,41605.62,41710,169.27091,NaN
1627785000,41709.99,41730,41640,41722.28,267.642481,NaN
1627785900,41722.28,41825,41716.76,41808.25,581.91603,NaN
1627786800,41808.25,41977.77,41808.25,41951.64,573.637084,NaN
1627787700,41951.65,42360.36,41904.6,42257.11,1554.46797,NaN
1627788600,42257.12,42389.88,42163.27,42307.45,807.933205,NaN
1627789500,42307.45,42599,42218,42435.13,1239.819584,NaN
1627790400,42430.41,42441.26,42273.37,42407.11,593.415015,NaN
1627791300,42407.1,42408,42150,42294.54,667.975498,NaN
1627792200,42288.92,42312.3,42181.95,42242.8,475.747913,NaN
1627793100,42242.8,42297.4,42026,42057.79,460.196123,586.6477317
1627794000,42053.67,42158.74,41670,41734.28,994.915492,577.441751
1627794900,41734.27,41939.02,41724.7,41835.99,517.035386,582.2875226
1627795800,41840.38,41961.04,41773.29,41876.25,392.726476,579.82753565
1627796700,41876.25,41897.85,41788.57,41822.41,258.274018,567.5707651
1627797600,41822.42,41981.55,41605,41781.98,565.139881,564.8626356
1627798500,41781.97,41845.93,41720,41720.56,237.3504,553.51835445
1627799400,41720.56,41824.69,41650.43,41696.81,341.6123,556.43882905
1627800300,41699.66,41779.09,41696.83,41707.61,306.452255,559.44813195
1627801200,41707.61,41820,41705.69,41747.59,378.185355,569.1856688
1627802100,41747.58,41780.68,41580,41754.59,410.758263,581.26003645
1627803000,41754.6,41817,41713.17,41774.98,228.761549,579.31598985
1627803900,41774.98,41791.82,41640,41701.26,218.553108,561.14784375
1627804800,41701.25,41797.39,41642.87,41729.14,295.859527,547.2589659
1627805700,41729.14,41796.1,41729.14,41741.15,241.545098,481.6128223
1627806600,41741.17,41820,41692.68,41724.43,330.745251,457.7534246
1627807500,41724.42,41759.89,41624.76,41750.11,330.620721,412.29348145
1627808400,41750.11,41920,41723,41811.18,487.103258,406.9778936
1627809300,41811.18,41939.25,41810.05,41919,338.903258,390.5242816
1627810200,41919,41948,41826.26,41876.56,279.263544,380.70006315
1627811100,41876.56,41920,41850,41908.71,149.846028,365.1825584
1627812000,41908.71,41912.65,41700,41776.33,556.093792,343.2414734
1627812900,41776.34,41800,41660.6,41699.99,402.747063,337.52705725
1627813800,41699.99,41751.8,41653,41671.62,280.740696,331.92776825
1627814700,41671.62,41707.16,41339.75,41494.11,804.383845,359.2332596
1627815600,41494.11,41613.49,41400,41420.09,571.198019,359.5361665
1627816500,41420.09,41500.98,41325,41436.53,525.697064,373.9534997
1627817400,41436.53,41617,41430.12,41572.69,394.775798,376.6116746
1627818300,41572.69,41612.58,41510,41587.01,249.780227,373.7780732
1627819200,41587,41734.63,41510.1,41676.33,344.32829,372.08521995
1627820100,41672.41,41726.25,41633.31,41687.99,238.927886,363.4937011
1627821000,41687.99,41810,41661.73,41674.19,314.581041,367.7846757
1627821900,41674.2,41675,41544.6,41553.69,256.203665,369.66720355
1627822800,41553.69,41624.56,41487.15,41500,440.320611,376.89025775
1627823700,41500,41540.84,41370.91,41460.63,576.344828,393.63024425
1627824600,41460.63,41563.35,41410,41410.79,338.104033,393.99818335
1627825500,41410.8,41492.01,41402.85,41411.08,257.929028,390.3635987
1627826400,41411.07,41520,41320,41461.03,312.4461,381.6307408
1627827300,41461.03,41498.2,41373,41430.57,185.176515,373.94440365
1627828200,41431.75,41442.43,41313.3,41340.03,551.253276,387.54389025
1627829100,41340.03,41425,41214.83,41329.36,625.65362,411.33426985
1627830000,41329.36,41409.99,41243.26,41360.14,293.926197,398.2258901
1627830900,41360.14,41549.64,41320.07,41500,379.334815,397.0552777
1627831800,41500.01,41500.01,41410.05,41430.92,241.25027,395.0807564
1627832700,41430.92,41430.93,41160,41286.98,644.86504,387.10481615
1627833600,41286.99,41295.3,41081.6,41137.62,860.62532,401.5761812
1627834500,41137.62,41148.29,40714.28,40874.83,2004.500376,475.5163468
1627835400,40870.49,40944.95,40723.01,40898.01,671.716606,489.3633872
1627836300,40898,41417.81,40890,41256.19,1209.245639,537.3366578
1627837200,41256.19,41342.65,41111.14,41137.6,812.13671,560.7270788
1627838100,41137.59,41199.58,40856.02,40944.26,946.635674,596.1124682
1627839000,40944.27,41039.97,40842.39,40945.96,472.380107,604.0024215
1627839900,40945.96,41184.44,40935.17,41084.75,501.719649,616.2782207
1627840800,41084.75,41131,40982.15,41015.41,342.183342,611.37135725
1627841700,41015.41,41223.63,41006.05,41100,367.144286,600.91133015
1627842600,41100,41225,41072.56,41188.74,589.337919,613.47302445
1627843500,41188.74,41188.99,40956.85,41080.73,321.976793,616.6754127
1627844400,41080.73,41080.73,40758,40843.74,476.459374,624.8760764
1627845300,40843.73,41283.02,40600,41199.52,1083.009933,669.7677473
1627846200,41199.53,41486.58,41191,41419.56,774.913726,680.9507698
1627847100,41419.56,41489.07,41226.86,41263.35,588.777242,679.1069509
1627848000,41263.34,41500,41263.34,41493.83,707.167917,699.7690369
